"","Country.Code","Country.Name","Year","Forest_Area","CO2_Emissions"
"1","BOL","Bolivia",2000,1,0.0206652723832287
"2","BOL","Bolivia",2001,0.952775194119352,0
"3","BOL","Bolivia",2002,0.905550385700292,0.0379444278458321
"4","BOL","Bolivia",2003,0.858325579819644,0.077880689174385
"5","BOL","Bolivia",2004,0.811100773938996,0.111912586964873
"6","BOL","Bolivia",2005,0.763875968058348,0.146897719350662
"7","BOL","Bolivia",2006,0.7166511621777,0.205991150568384
"8","BOL","Bolivia",2007,0.669426356297052,0.292486519555537
"9","BOL","Bolivia",2008,0.622201550416403,0.351124674548636
"10","BOL","Bolivia",2009,0.574976744535757,0.411391864782961
"11","BOL","Bolivia",2010,0.527751936116698,0.49043919928294
"12","BOL","Bolivia",2011,0.478132360067877,0.58252592940373
"13","BOL","Bolivia",2012,0.428512781480647,0.651336662540726
"14","BOL","Bolivia",2013,0.378893202893415,0.726357647929205
"15","BOL","Bolivia",2014,0.329273624306185,0.817768577404072
"16","BOL","Bolivia",2015,0.279654048257364,0.855151023660136
"17","BOL","Bolivia",2016,0.214854615580093,0.957886949222474
"18","BOL","Bolivia",2017,0.154291727810965,0.98415781012136
"19","BOL","Bolivia",2018,0.0982934339888531,0.998598602871086
"20","BOL","Bolivia",2019,0.0468644200209172,1
"21","BOL","Bolivia",2020,0,0.75741602287763
"22","BRA","Brazil",2000,1,0.00362235373555231
"23","BRA","Brazil",2001,0.927467183666579,0.0194632005401757
"24","BRA","Brazil",2002,0.85493436579868,0.02178774278111
"25","BRA","Brazil",2003,0.782401549465259,0
"26","BRA","Brazil",2004,0.709868733131835,0.0935412281050166
"27","BRA","Brazil",2005,0.637335916798414,0.106445863287922
"28","BRA","Brazil",2006,0.564803098930515,0.131441394923938
"29","BRA","Brazil",2007,0.492270282597093,0.225095821583191
"30","BRA","Brazil",2008,0.419737466263672,0.325356972633753
"31","BRA","Brazil",2009,0.347204648395773,0.193994518806847
"32","BRA","Brazil",2010,0.274671832062351,0.46007715375144
"33","BRA","Brazil",2011,0.246413924220231,0.569138995908965
"34","BRA","Brazil",2012,0.218156014843635,0.752181554593478
"35","BRA","Brazil",2013,0.189898107001516,0.877019700520316
"36","BRA","Brazil",2014,0.161640199159398,1
"37","BRA","Brazil",2015,0.133382291317278,0.852906919013385
"38","BRA","Brazil",2016,0.100286401597464,0.68068475195615
"39","BRA","Brazil",2017,0.0637426797703079,0.739808158239663
"40","BRA","Brazil",2018,0.0446455781669961,0.620794276522223
"41","BRA","Brazil",2019,0.0216435039614163,0.617070639869722
"42","BRA","Brazil",2020,0,0.516191861619732
"43","COL","Colombia",2000,1,0.124950480854483
"44","COL","Colombia",2001,0.946356986002749,0.111681236299703
"45","COL","Colombia",2002,0.892713972005499,0.0197208817992145
"46","COL","Colombia",2003,0.839070958008248,0
"47","COL","Colombia",2004,0.785427944010997,0.00181098589317454
"48","COL","Colombia",2005,0.731784926926303,0.0686703213368093
"49","COL","Colombia",2006,0.678141912929052,0.0221279838822256
"50","COL","Colombia",2007,0.624498898931803,0.0852710253575755
"51","COL","Colombia",2008,0.570855884934551,0.0978007840059762
"52","COL","Colombia",2009,0.5172128709373,0.206376934076341
"53","COL","Colombia",2010,0.463569856940049,0.273798429724315
"54","COL","Colombia",2011,0.42610703869303,0.47278050473686
"55","COL","Colombia",2012,0.388644223533454,0.481344958856664
"56","COL","Colombia",2013,0.351181408373878,0.770699002825893
"57","COL","Colombia",2014,0.313718593214302,0.850725714867817
"58","COL","Colombia",2015,0.276255778054724,0.893646080536052
"59","COL","Colombia",2016,0.227510650871512,1
"60","COL","Colombia",2017,0.166368450662173,0.712739908469755
